Word1	Word2	Relation
hời_hợt	nông_cạn	SYN
thảnh_thơi	ưu_tư	ANT
vô_lý	có_lí	ANT
cuồng_nộ	phẫn_nộ	SYN
đần	thông_minh	ANT
có_lí	vô_lí	ANT
ấm_no	no_ấm	SYN
lí_thú	lý_thú	SYN
lợi	thiệt	ANT
dư_dật	thiếu_thốn	ANT
lắm	ít	ANT
mạnh_dạn	nhát	ANT
vẩu	vổ	SYN
ác	thiện	ANT
gọn_ghẽ	bừa_bộn	ANT
thô_lỗ	lỗ_mãng	SYN
rỗng	rỗng_không	SYN
hưng_thịnh	hưng_vượng	SYN
nhám	mịn	ANT
tàn_ác	tàn_tệ	SYN
lệch	ngay	ANT
chính_xác	xác_thực	SYN
đen	đỏ	ANT
lười_biếng	siêng_năng	ANT
chật_hẹp	rộng_rãi	ANT
vững	vững_vàng	SYN
đương_chức	đương_nhiệm	SYN
khuất_tất	mờ_ám	SYN
kỹ_lưỡng	sơ_sài	ANT
đặc	loãng	ANT
gần	xa	ANT
hợp_lí	vô_lí	ANT
ác_độc	hiền_lành	ANT
mau_chóng	nhanh_chóng	SYN
quỉ_quái	quái_quỷ	SYN
tỉnh_bơ	tỉnh_queo	SYN
chặt	lỏng	ANT
gian_trá	gian_xảo	SYN
bận_bịu	rảnh_rỗi	ANT
thẳng	thẳng_băng	SYN
bi_quan	lạc_quan	ANT
chặt_chẽ	lỏng_lẻo	ANT
hậu_hĩ	hậu_hĩnh	SYN
gọn_gàng	bừa_bộn	ANT
màu_mỡ	phì_nhiêu	SYN
khô	khô_khan	SYN
thành_tâm	thực_tình	SYN
ẩm	khô	ANT
kĩ_càng	qua_quýt	ANT
độc_nhất	độc_nhất_vô_nhị	SYN
bươm	tươm	SYN
ác_độc	độc_ác	SYN
chóng	muộn	ANT
kĩ_càng	tỷ_mỉ	SYN
thường_kỳ	bất_thường	ANT
lung_tung	gọn_ghẽ	ANT
đặc	kín	SYN
mát_mẻ	nóng_nực	ANT
bé	to	ANT
ngu_đần	thông_minh	ANT
khảng_khái	khẳng_khái	SYN
tối_tăm	tối_dạ	SYN
dơ_dáy	sạch	ANT
khoả_thân	nuy	SYN
thông_minh	ngu_ngốc	ANT
nghèo_khó	nghèo_túng	SYN
man_trá	xảo_quyệt	SYN
an_tâm	lo_lắng	ANT
mạnh_mẽ	yếu_ớt	ANT
nhạt_nhẽo	nhạt_thếch	SYN
may_mắn	rủi_ro	ANT
dài_dòng	ngắn_gọn	ANT
hợp_lý	vô_lí	ANT
tha_thiết	khẩn_thiết	SYN
nườm_nượp	vắng_ngắt	ANT
thanh_vắng	thanh_u	SYN
tột_cùng	tột_đỉnh	SYN
lớn	to	SYN
thong_thả	vội	ANT
giàu	nghèo	ANT
phi_lý	có_lí	ANT
nhạt_phèo	mặn_mòi	ANT
thư_thái	lo_âu	ANT
bạc	tệ	SYN
bất_minh	mờ_ám	SYN
bồn_chồn	thắc_thỏm	SYN
tí_xíu	tí_ti	SYN
nhiều	ít	ANT
chây_lười	lười_nhác	SYN
chung_thuỷ	thuỷ_chung	SYN
lẹ	mau	SYN
đông	vắng	ANT
tối_tăm	sáng_sủa	ANT
tràn_đầy	tràn_ngập	SYN
kĩ_tính	kỹ_tính	SYN
đơn_côi	trơ_trọi	SYN
cay_đắng	đắng_cay	SYN
hiểm_yếu	xung_yếu	SYN
giỏi	tồi	ANT
nham_hiểm	hiểm_độc	SYN
dễ	khó	ANT
hèn	can_đảm	ANT
thông_minh	ngu_dốt	ANT
thanh_thản	thảnh_thơi	SYN
mầu_mỡ	bạc_màu	ANT
tỉnh_táo	mê_muội	ANT
nông_cạn	sâu_sắc	ANT
nhơ_nhớp	nhơ_nhuốc	SYN
nhẹ_bỗng	nhẹ_tênh	SYN
kỳ_diệu	thần_diệu	SYN
tỉ_mỉ	tỷ_mỉ	SYN
dị_thường	khác_thường	SYN
bạc_bẽo	tệ_bạc	SYN
gan_góc	can_đảm	SYN
độc_ác	hiền_lành	ANT
xanh	chín	ANT
diệu_kì	kỳ_diệu	SYN
ma_lanh	tinh_ranh	SYN
khủng_khiếp	kinh_khủng	SYN
nóng_vội	nôn_nóng	SYN
bi_thảm	bi_thương	SYN
nhỡ	vừa	SYN
diệu_kì	thần_diệu	SYN
cũ_mèm	mới_mẻ	ANT
vô_ích	hữu_dụng	ANT
đờ_đẫn	thờ_thẫn	SYN
ướt	ráo	ANT
nguy_nan	nguy_ngập	SYN
đơ	đừ	SYN
hữu_ích	vô_dụng	ANT
kỹ	tỷ_mỉ	SYN
hời_hợt	sâu_sắc	ANT
nhạt_thếch	mặn_mòi	ANT
chăm_chỉ	lười_nhác	ANT
cực_khổ	sung_sướng	ANT
teo_tóp	quắt_queo	SYN
nhạt	lợt	SYN
lộn_xộn	gọn_ghẽ	ANT
um	rầm	SYN
dũng_cảm	hèn	ANT
quái_ác	tai_quái	SYN
buồn	vui	ANT
hà_tiện	hoang	ANT
bạo	nhát	ANT
cứng_rắn	mềm_mỏng	ANT
phiền_phức	phiền_toái	SYN
có_lí	phi_lí	ANT
mịn	ráp	ANT
khoẻ	yếu	ANT
thường	lạ_thường	ANT
lệch	thẳng	ANT
đậm	nhạt	ANT
cứng	mềm	ANT
tỉ_mỉ	qua_loa	ANT
kĩ	qua_quýt	ANT
lẹ	lâu	ANT
gian_giảo	xảo_quyệt	SYN
bẩn	sạch	ANT
ngược	thuận	ANT
đông	thưa	ANT
bẩn_thỉu	sạch	ANT
nhàu	nhầu	SYN
bất_hợp_pháp	phi_pháp	SYN
bạc_bẽo	bội_bạc	SYN
chân_thật	giả_dối	ANT
đúng_đắn	sai_trái	ANT
lai	thuần_chủng	ANT
vô_địch	vô_song	SYN
dễ_chịu	khó_chịu	ANT
tốt_đẹp	xấu_xa	ANT
keo_kiệt	đá	SYN
kĩ_lưỡng	kỹ	SYN
chán_chường	chán_ngán	SYN
