Word1	Word2	Relation
khoái_lạc	nỗi_đau	ANT
yếu_kém	sức_mạnh	ANT
thanh_danh	ô_nhục	ANT
dây	dọc	SYN
bằng_cớ	chứng_cớ	SYN
ba	me	ANT
ngày	ban_đêm	ANT
gông_cùm	gông_xiềng	SYN
nhân_tài	tài_năng	SYN
khởi_đầu	cuối_cùng	ANT
hậu_duệ	bố_mẹ	ANT
dạ_hương	dạ_lý_hương	SYN
khuyết_thiếu	ưu_điểm	ANT
áo_quan	quan_tài	SYN
vô_tỷ	số_vô_tỷ	SYN
phục_viên	động_viên	ANT
tía	me	ANT
cậu	cô	ANT
cha	u	ANT
xuất_phát	kết_thúc	ANT
hậu_duệ	phụ_huynh	ANT
bệ	đầu	ANT
cõi_tục	trần_gian	SYN
nhiệm_kì	nhiệm_kỳ	SYN
sáng	bóng_tối	ANT
khởi_thuỷ	cuối_cùng	ANT
thầy	u	ANT
chú	thím	ANT
báng	bá	SYN
khuyết_điểm	ưu_điểm	ANT
nội_qui	nội_quy	SYN
dĩ_vãng	tương_lai	ANT
thiếu_sót	khuyết_điểm	SYN
trái_đất	địa_cầu	SYN
vú	tí	SYN
bác	gì	ANT
dầu_hoả	dầu_hôi	SYN
đàn_bà	nam_giới	ANT
xuân_phân	thu_phân	ANT
thuế_khoá	thuế_má	SYN
thiên_quốc	địa_ngục	ANT
nữ_hoàng	vua	ANT
bác	thím	ANT
tàn_dư	tàn_tích	SYN
nam	trai	SYN
phụ_thân	má	ANT
thiếu_nữ	chàng_trai	ANT
sở_trường	nhược_điểm	ANT
kết_thúc	khởi_đầu	ANT
đàn_bà	nam	ANT
hạn	vận_hạn	SYN
bồ_bịch	tình_nhân	SYN
tinh_mơ	hoàng_hôn	ANT
mẹ	u	SYN
khởi_đầu	chấm_hết	ANT
hiện_diện	vắng	ANT
mộ	mả	SYN
ven	vệ	SYN
thân_xác	thể_xác	SYN
phụ_nữ	con_trai	ANT
tàu	tầu	SYN
tiểu_phẫu	đại_phẫu	ANT
quá_khứ	vị_lai	ANT
thầy	me	ANT
xuất_hiện	thiếu	ANT
cha_mẹ	bố_mẹ	SYN
chắn	barie	SYN
xuất_phát_điểm	chấm_hết	ANT
cô_gái	chàng_trai	ANT
xuất_hiện	vắng_mặt	ANT
tốt	vô_sinh	ANT
thi_thể	thây	SYN
mầm	mống	SYN
tha_ma	nghĩa_trang	SYN
nhà_giam	nhà_đá	SYN
tã	tã_lót	SYN
dĩ_vãng	sau_này	ANT
đạo_lí	đạo_nghĩa	SYN
bố	má	ANT
đảo	cù_lao	SYN
xuất_phát	chấm_hết	ANT
người_yêu	tình_nhân	SYN
ông_già	u	ANT
dầu_hoả	dầu_lửa	SYN
sở_trường	điểm_yếu	ANT
nhà_giam	nhà_lao	SYN
tiếp_tục	thôi	ANT
golf	gôn	SYN
phụ_nữ	nam	ANT
đống	gò	SYN
thiên_quốc	hoả_ngục	ANT
điều_thiện	xấu	ANT
đô_thị	quê	ANT
đít	khu	SYN
ban_đầu	cuối_cùng	ANT
tinh_mơ	tinh_sương	SYN
phong_bì	bao_thơ	SYN
cha_nội	cha	SYN
thầy	bầm	ANT
đề_án	dự_án	SYN
duyên_cớ	nguyên_cớ	SYN
ba	u	ANT
em_trai	em_gái	ANT
thiên_đàng	hoả_ngục	ANT
tí	tị	SYN
chồng	bà_xã	ANT
mạng	mệnh	SYN
thiên_đường	hoả_ngục	ANT
hòm	quan_tài	SYN
đầu_tiên	trước_hết	SYN
cậu	bác	ANT
bá	già	SYN
danh_giá	nhục_nhã	ANT
chú	cô	ANT
phụ_nữ	nam_giới	ANT
sở_trường	khuyết_điểm	ANT
nguyên_lí	nguyên_lý	SYN
sở_trường	hạn_chế	ANT
bè	phe	SYN
mẹ	mế	SYN
nền	figure	ANT
gốc_rễ	cội_rễ	SYN
giữa	cuối_cùng	ANT
ổ	nhóm	SYN
cõi_tục	dương_gian	SYN
ngô	bắp	SYN
dấu_vết	vết_tích	SYN
khía_cạnh	góc_cạnh	SYN
nếp	lề_thói	SYN
thuộc_hạ	thủ_túc	SYN
tục	trần	SYN
lí	thiên_lý	SYN
công_khố	công_quỹ	SYN
lãnh_vực	lĩnh_vực	SYN
tép_riu	nhãi_nhép	SYN
hạ	gia_tăng	ANT
danh_giá	ô_danh	ANT
ký_sinh_trùng	vật_chủ	ANT
sở_trường	yếu_điểm	ANT
hàng_xóm	láng_giềng	SYN
đồng_la	phèng_la	SYN
thuộc_hạ	chỉ_huy	ANT
thầy	mẹ	ANT
giảm	gia_tăng	ANT
chú	mợ	ANT
trạng_thái	thể	SYN
thận	cật	SYN
cán	tông	SYN
yếu_kém	thành_công	ANT
phạm_nhân	tội_phạm	SYN
danh_dự	ô_danh	ANT
đồng_phạm	tòng_phạm	SYN
ông_già	mợ	ANT
phụ_thân	me	ANT
giữa	xuất_phát_điểm	ANT
ngày_nay	hiện_tại	SYN
con	ba_má	ANT
góp_mặt	vắng_mặt	ANT
bát	chén	SYN
áo_quần	quần_áo	SYN
xuất_phát_điểm	cuối_cùng	ANT
bầm	mạ	SYN
mở_đầu	trung	ANT
lượng	cây	SYN
phục_viên	điều_động	ANT
dọc	hàng	SYN
ẩn_ý	hàm_ý	SYN
tuồng	bọn	SYN
hoàn_thành	bắt_đầu	ANT
thầy	má	ANT
thầy	mợ	ANT
chân	đầu	ANT
tiết_diện	thiết_diện	SYN
đen	bạch	ANT
trụ_cột	cột_trụ	SYN
thanh_danh	tai_tiếng	ANT
ông_già	má	ANT
cha	má	ANT
nữ_giới	nam	ANT
tin	tin_tức	SYN
ban_ngày	đêm	ANT
thơ	thư	SYN
đàn_bà	đàn_ông	ANT
trăng_gió	trăng_hoa	SYN
ban_mai	hoàng_hôn	ANT
cữ	lóng	SYN
bố	bầm	ANT
khu_đô_thị	nông_thôn	ANT
bảo_vật	báu_vật	SYN
phụ_thân	mợ	ANT
bố	mẹ	ANT
