Word1	Word2	POS	Sim1	Sim2	STD
biến	ngập	V	3.13	5.22	0.72
nhà_thi_đấu	nhà	N	3.07	5.12	1.18
động	tĩnh	V	0.6	1.0	0.95
khuyết	ưu	N	0.2	0.33	0.4
cõi_tục	cõi_âm	N	0.6	1.0	0.95
thủ_pháp	biện_pháp	N	4.13	6.88	1.26
kết_duyên	thành_hôn	V	5.27	8.78	1.06
cấp_tiến	bảo_thủ	A	0.87	1.45	1.15
nước_lớn	nguy_hiểm	N	1.07	1.78	1.12
hoa	nhị	N	2.27	3.78	0.93
bất_lợi	thuận_lợi	N	0.33	0.55	0.79
phân_ly	sum_họp	V	0.47	0.78	1.09
nói_lắp	nói_móc	V	3.53	5.88	0.81
vây_ép	phong_toả	V	3.4	5.67	0.95
diễu_hành	tuần_hành	V	4.53	7.55	1.15
cao_trào	thoái_trào	N	0.53	0.88	0.88
thịnh	suy	V	0.67	1.12	1.14
con_voi	ngà	N	1.6	2.67	1.08
cá_chuối	cá_quả	N	4.13	6.88	1.31
đổ_bê_tông	biếu_xén	V	0.33	0.55	0.6
con_đẻ	con_ruột	N	5.33	8.88	1.07
uỷ_nhiệm	phân_công	V	4.33	7.22	1.4
bay_lượn	chuyển_động	V	3.93	6.55	1.18
khêu_gợi	khơi_gợi	V	4.6	7.67	0.8
thăng_bằng	cân_bằng	V	3.53	5.88	1.2
chọn_lựa	tuyển_chọn	N	4.33	7.22	1.19
có_ích	hữu_ích	A	5.67	9.45	0.7
cứng_rắn	nhỏ_nhắn	A	0.47	0.78	0.96
bội_nghĩa	biết_ơn	V	0.4	0.67	0.8
lỗ_đen	hố_đen	N	3.33	5.55	1.14
vùi	đóng	V	1.47	2.45	1.41
tính_tình	tính_khí	N	3.4	5.67	0.8
mục_sư	giáo_sĩ	N	4.0	6.67	0.97
cộng_đồng	dân_tộc	N	3.53	5.88	1.02
rớ	sờ	V	5.2	8.67	0.75
trả_đũa	đền_đáp	N	3.13	5.22	1.09
tay_cầm	phân_đạm	N	0.47	0.78	1.02
liên_hệ	nguỵ_trang	V	0.07	0.12	0.25
mới_tinh	mới_toanh	A	5.73	9.55	0.77
cột_trụ	bệ	N	2.13	3.55	0.81
họp_mặt	tiệc	N	3.93	6.55	0.85
lộn_xộn	gọn_gàng	A	0.4	0.67	0.61
chủ_động	thụ_động	V	0.53	0.88	0.88
vali	tay_cầm	N	1.47	2.45	0.88
đơn_tiết	đơn_âm	A	4.8	8.0	0.83
ghen_tị	ghen_ghét	V	4.6	7.67	1.14
ngả_nghiêng	sờn_lòng	V	3.0	5.0	1.1
ngôn_ngữ_học	khoa_học	N	3.67	6.12	1.4
vẹo	vẹo_vọ	A	4.93	8.22	0.93
thu_gom	tiếp_sức	V	0.73	1.22	0.77
quy_trình	sáng_tác	N	3.2	5.33	0.83
thành_thị	thị_thành	N	5.93	9.88	0.25
nhảy_nhót	nhích	V	3.6	6.0	1.14
ly_tâm	hướng_tâm	V	0.73	1.22	0.85
cống	đường_ống	N	4.4	7.33	1.08
còm	nhỏ_nhoi	A	3.8	6.33	1.22
bánh_răng	răng	N	1.87	3.12	0.81
nao_núng	kiên_định	V	0.27	0.45	0.57
bằng_hữu	bầu_bạn	N	4.27	7.12	1.24
thân	lưng	N	2.13	3.55	0.88
bút_chì	lô	N	0.0	0.0	0.0
cổng	ổ_khoá	N	2.27	3.78	0.77
dị_bản	đĩa_bay	N	0.47	0.78	0.88
nguây_nguẩy	ngúng_nguẩy	V	4.87	8.12	1.2
biên_nhận	ứng_chiến	V	0.6	1.0	0.8
truy_cập	thâm_nhập	V	4.27	7.12	0.77
chỉ_định	hạ_bút	V	0.27	0.45	0.57
âm	nguy_hiểm	N	0.33	0.55	0.6
thăng_trầm	khô_kiệt	A	0.33	0.55	0.7
thay_thế	biến_đổi	N	4.13	6.88	1.02
ban_công	lan_can	N	2.33	3.88	0.79
dưới	trên	N	0.4	0.67	0.71
kháng_cự	phản_đối	V	4.0	6.67	0.97
cầm	rờ_mó	V	3.73	6.22	1.12
vế	vai_vế	N	4.27	7.12	0.85
vắng_lặng	ồn_ào	A	0.33	0.55	0.7
xót_thương	đau_lòng	V	5.27	8.78	0.77
găng_tay	quần_áo	N	3.13	5.22	0.88
lộp_bộp	lộp_độp	A	5.13	8.55	0.81
sinh_vật_cảnh	đồng_dao	N	0.07	0.12	0.25
lặn	mọc	V	0.33	0.55	0.7
bồ_bịch	nhân_tình	N	5.27	8.78	0.85
bằng_chứng	chứng_cứ	N	3.33	5.55	0.7
hạ_màn	mở_màn	V	0.33	0.55	0.7
ca_tụng	đoàn_kết	V	2.67	4.45	0.7
ngày	đêm	N	0.33	0.55	0.7
lan_can	rào	N	2.8	4.67	0.75
trở_lại	đảo_ngược	V	3.0	5.0	0.73
nhạc_nhẹ	tiểu_học	N	0.0	0.0	0.0
tự_do	đức_tính	N	1.0	1.67	1.03
hợp_nhất	liên_kết	N	3.53	5.88	1.09
hoàng_tộc	hoàng_gia	N	5.0	8.33	0.82
đầu_mối	chỗ	N	3.07	5.12	1.06
tinh_luyện	hoá_lỏng	V	2.93	4.88	0.68
bí_hiểm	bí_mật	N	4.4	7.33	1.02
chung_tình	phụ_bạc	V	0.33	0.55	0.6
bàn_cãi	cân_nhắc	V	3.93	6.55	1.12
nhảy_cao	ném_đĩa	N	3.2	5.33	0.75
bánh_hỏi	bánh_giò	N	3.33	5.55	0.7
tiếng_chuông	âm_thanh	N	2.87	4.78	0.72
tha_thẩn	thơ_thẩn	A	4.87	8.12	0.88
phôi_bào	tế_bào	N	4.13	6.88	1.15
thuyền	bánh_lái	N	2.33	3.88	0.87
nấp	hiện	V	0.2	0.33	0.4
cất	giấu	V	4.87	8.12	1.15
âm	gốc	N	1.47	2.45	1.02
đặt	thả_lỏng	V	2.07	3.45	1.12
chỉnh_hình	tiểu_học	N	0.13	0.22	0.34
tẩy	cạn	V	2.07	3.45	1.0
cây_trồng	đĩa_bay	N	0.07	0.12	0.25
chỉnh_hình	luồng	N	0.53	0.88	1.02
màng_tế_bào	bảng_tổng_sắp	N	0.13	0.22	0.34
ngót_nghét	xấp_xỉ	A	5.33	8.88	0.6
biến_động	cố_định	V	0.27	0.45	0.57
khuyết_điểm	ưu_điểm	N	0.27	0.45	0.57
nhạo_báng	khiếm_nhã	N	4.47	7.45	1.02
hại	lợi	N	0.13	0.22	0.34
bướu_cổ	bệnh_tật	N	3.07	5.12	1.06
cây_thuốc	cây_hoa_màu	N	3.27	5.45	1.24
